# Mid-bin energy (keV),Fluence (cm⁻² keV⁻¹)
1.125,10697411223642.494
1.375,8894220731415.773
1.625,7937273968447.142
1.875,6676214667165.622
2.125,5632039508585.743
2.375,5039481621200.418
2.625,4570089301855.3955
2.875,4197415824807.208
3.125,3920008878666.4746
3.375,3731885634246.0776
3.625,3621232535544.955
3.875,3578879927782.906
4.125,3597158524514.5225
4.375,3664683662473.788
4.625,3776202698658.4526
4.875,3926762122305.8604
5.125,4111843286058.875
5.375,4328527870138.23
5.625,4574056348733.953
5.875,4846754562710.816
6.125,5145442762955.227
6.375,5469141489022.6875
6.625,5814959412025.124
6.875,6181849403932.605
7.125,6571363477923.778
7.375,21834384870979.977
7.625,7550033886590.23
7.875,7997001305402.089
8.125,8330326107347.083
8.375,343805125969122.5
8.625,13750444775601.76
8.875,9837938354202.48
9.125,10376938068519.729
9.375,11102387528355.713
9.625,238653735279230.16
9.875,125454384478681.72
10.125,13924363779962.732
10.375,4674447218938.18
10.625,4575152973174.872
10.875,5516012846137.308
11.125,5011382275874.695
11.375,27319548616305.547
11.625,8275346921366.411
11.875,3999472211217.7993
12.125,4323796940420.949
12.375,3579988404300.972
12.625,3699840876024.1055
12.875,3824245351347.6567
13.125,3951724986375.577
13.375,4082201298054.135
13.625,4215589031512.5327
13.875,4351723245716.4146
14.125,4491922660040.966
14.375,4636244379217.248
14.625,4783203570803.658
14.875,4932692812683.289
15.125,5085724306947.402
15.375,5242289443155.657
15.625,5401149929880.758
15.875,5562217387974.696
16.125,5725255740661.858
16.375,5890253371558.681
16.625,6057057876825.319
16.875,6225532204731.369
17.125,6395570438135.8545
17.375,6566999926641.057
17.625,6740913457798.537
17.875,6917265319749.827
18.125,7094755586122.009
18.375,7273070598640.278
18.625,7452163321993.724
18.875,7631891587435.353
19.125,7812124964849.501
19.375,7992718212066.714
19.625,8173493656265.916
19.875,8354277990104.77
20.125,8535839870125.98
20.375,8718190901832.942
20.625,8900092033386.135
20.875,9081518683278.967
21.125,9262334914935.902
21.375,9442414246524.557
21.625,9621596009820.775
21.875,9799773059181.967
22.125,9977426253263.69
22.375,10154545135623.54
22.625,10330479814036.965
22.875,10504705374924.04
23.125,10677305214472.857
23.375,10848137365146.564
23.625,11017107487883.006
23.875,11184097800394.844
24.125,11348943782958.549
24.375,11511570878314.584
24.625,11671999944630.59
24.875,11830268853796.719
25.125,11986617461873.754
25.375,12141148084439.445
25.625,12293050159468.184
25.875,12442261001340.547
26.125,12588722673098.37
26.375,12732305680560.586
26.625,12873042352909.582
26.875,13010937051236.113
27.125,13146087887989.168
27.375,13277993303847.484
27.625,13406841346250.24
27.875,13532600613693.656
28.125,13655233362236.01
28.375,13774722918471.996
28.625,13890991037694.39
28.875,14004088788997.043
29.125,14114117896329.059
29.375,14221161279416.047
29.625,14324760954433.371
29.875,14425160958250.94
30.125,14522648392681.281
30.375,14617223831920.203
30.625,14708588590642.008
30.875,14796732930063.941
31.125,14881722715492.494
31.375,14963720352600.74
31.625,15042737773003.121
31.875,15118390948968.947
32.125,15190914964619.834
32.375,15260333792651.697
32.625,15326798876351.13
32.875,15390216618856.576
33.125,15450600431790.21
33.375,15508073512921.734
33.625,15562832420377.889
33.875,15614814873233.875
34.125,15663720500666.48
34.375,15709755074163.424
34.625,15753053912005.334
34.875,15793639433913.588
35.125,15831515098560.816
35.375,15866822863497.73
35.625,15899514732406.816
35.875,15929827470312.732
36.125,15957669753282.111
36.375,15982813658041.674
36.625,16005554874866.926
36.875,16025902052149.744
37.125,16043878298238.637
37.375,16059523371657.293
37.625,16072891754934.854
37.875,16084067071417.285
38.125,16093351596369.432
38.375,16100536874822.316
38.625,16105471637591.707
38.875,16108394518357.025
39.125,16109327704912.361
39.375,16108294337424.947
39.625,16105374142797.629
39.875,16100662885326.902
40.125,16094168043772.006
40.375,16086151989330.922
40.625,16076484688179.377
40.875,16064967222066.113
41.125,16051847632230.254
41.375,16037150315071.248
41.625,16020847752427.498
41.875,16003041388836.24
42.125,15983823112035.133
42.375,15963233837347.268
42.625,15941524541399.656
42.875,15918579132920.809
43.125,15894096343860.426
43.375,15868394013998.125
43.625,15841496162540.752
43.875,15813263423439.496
44.125,15783969529144.014
44.375,15753630244053.678
44.625,15722215712482.254
44.875,15690023463275.982
45.125,15656781195432.033
45.375,15622233059452.977
45.625,15586720973807.727
45.875,15550302715757.502
46.125,15512903174357.121
46.375,15474666750451.4
46.625,15435605253110.082
46.875,15395776023253.041
47.125,15355422549718.676
47.375,15314455762297.375
47.625,15272576756948.57
47.875,15229989290932.115
48.125,15186681473865.6
48.375,15142601491685.93
48.625,15097952260208.736
48.875,15052815406406.395
49.125,15007072113229.77
49.375,14961044491564.633
49.625,14914602412342.209
49.875,14867488732497.049
50.125,14819807556409.137
50.375,14771392024080.373
50.625,14722529364808.352
50.875,14673388969437.21
51.125,14623837439008.342
51.375,14573854811202.832
51.625,14523849152240.91
51.875,14473583763817.736
52.125,14422828191508.688
52.375,14371810677966.555
52.625,14320295945048.959
52.875,14268586224102.65
53.125,14216671678423.062
53.375,14164524698503.287
53.625,14112076373928.857
53.875,14059776849213.166
54.125,14007346855227.55
54.375,13954617841814.732
54.625,13901651871694.055
54.875,13848415481282.932
55.125,13795028559418.094
55.375,13741571405020.13
55.625,13688017582694.453
55.875,13634291710935.984
56.125,13580855220615.69
56.375,13527345577370.842
56.625,13473565839623.002
56.875,13419662331092.906
57.125,13365630589659.004
57.375,13311538593029.465
57.625,13257476599704.9
57.875,209365280087382.34
58.125,13149178095067.205
58.375,13095315536386.496
58.625,13041450260915.627
58.875,12987451738184.834
59.125,12933301316959.95
59.375,362017880133646.94
59.625,12825075560647.781
59.875,12771047497199.697
60.125,12717486189412.87
60.375,12664224226279.646
60.625,12611353770165.748
60.875,12558520789788.768
61.125,12505588695546.602
61.375,12452525284324.664
61.625,12399570663594.438
61.875,12346674038698.232
62.125,12293850085507.79
62.375,12241136231918.389
62.625,12188373623598.398
62.875,12136055477710.61
63.125,12083816178521.35
63.375,12031508091365.336
63.625,11979174582753.973
63.875,11926944768622.898
64.125,11874839645934.432
64.375,11822875945394.684
64.625,11771022569359.07
64.875,11719218990373.373
65.125,11667933639298.89
65.375,11616676243140.592
65.625,11565338207480.197
65.875,11514081407394.402
66.125,11462972288092.727
66.375,11412042683360.867
66.625,11361249890511.783
66.875,53724722754917.33
67.125,93563177090697.75
67.375,11210008402049.938
67.625,13254759081553.898
67.875,11109954563989.99
68.125,11060032525623.66
68.375,11010254402313.186
68.625,10960648695217.408
68.875,10911230915973.86
69.125,20813022178105.49
69.375,30648424125935.684
69.625,10771412702520.395
69.875,6977547038677.419
70.125,6968146079881.935
70.375,6956398625624.81
70.625,6944477557910.731
70.875,6932384387768.715
71.125,6920231928076.355
71.375,6908670414475.424
71.625,6897187559695.732
71.875,6885711886505.903
72.125,6873979175430.155
72.375,6862080953040.516
72.625,6850573113018.218
72.875,6838995617967.028
73.125,6827272107992.401
73.375,6815391351170.695
73.625,6803305134102.223
73.875,6791018644718.324
74.125,6778757284409.037
74.375,6766228596721.137
74.625,6753476312161.895
74.875,6740642504186.403
75.125,6727858446064.054
75.375,6714934398677.221
75.625,6701864401721.708
75.875,6688648636736.62
76.125,6675277113589.149
76.375,6661921909237.71
76.625,6648308134472.353
76.875,6634522694907.646
77.125,6620614339626.848
77.375,6606597319422.95
77.625,6592469566951.262
77.875,6578224417542.417
78.125,6563827439932.75
78.375,6549319114051.078
78.625,6534829336420.6875
78.875,6520114034896.659
79.125,6505272896796.828
79.375,6490347389305.436
79.625,6475320061314.444
79.875,6460187829574.132
80.125,6445037228721.262
80.375,6429828674594.876
80.625,6414540605836.938
80.875,6399240571665.154
81.125,6383785771654.178
81.375,6368235439992.311
81.625,6352590185705.833
81.875,6336855487687.016
82.125,6321059424469.125
82.375,6305191139611.579
82.625,6289196407616.582
82.875,6273143798088.148
83.125,6257083639859.68
83.375,6240913654666.329
83.625,6224661867792.028
83.875,6208350640599.778
84.125,6191974700637.963
84.375,6175540388776.693
84.625,6159049522967.547
84.875,6142464368452.838
85.125,6125843059786.9375
85.375,6109198370674.394
85.625,6092493895633.925
85.875,6075729163019.087
86.125,6058908199570.643
86.375,6042044821365.312
86.625,6025153289640.157
86.875,6008226315485.435
87.125,5991205512687.718
87.375,5974159675104.671
87.625,5957095669980.715
87.875,5939996028361.011
88.125,5922866597922.559
88.375,5905720871473.021
88.625,5888538443707.758
88.875,5871313028731.463
89.125,5854053733613.241
89.375,5836762848146.854
89.625,5819444891080.782
89.875,5802106873102.888
90.125,5784796317830.432
90.375,5767510082341.163
90.625,5750198921261.656
90.875,5732861726614.784
91.125,5715494184790.2295
91.375,5698116717829.777
91.625,5680692366299.885
91.875,5663251499809.669
92.125,5645800025018.527
92.375,5628367496543.465
92.625,5610922751774.83
92.875,5593455973603.819
93.125,5575977997901.602
93.375,5558496584093.025
93.625,5540997818308.693
93.875,5523476116251.583
94.125,5505939298452.834
94.375,5488393969078.578
94.625,5470878485352.715
94.875,5453373070504.236
95.125,5435854140989.888
95.375,5418338905000.122
95.625,5400821760989.936
95.875,5383298547726.375
96.125,5365765944869.016
96.375,5348236128919.37
96.625,5330688848593.447
96.875,5313187945585.465
97.125,5295701769017.765
97.375,5278224912536.259
97.625,5260749774567.933
97.875,5243278762952.96
98.125,5225817583149.228
98.375,5208369842121.948
98.625,5190904568723.489
98.875,5173415737914.453
99.125,5155989041856.283
99.375,5138606347045.688
99.625,5121238456061.764
99.875,5103877645129.151
100.125,5086530710795.717
100.375,5069205066251.388
100.625,5051908209282.645
100.875,5034582826484.613
101.125,5017250728746.403
101.375,4999994290232.807
101.625,4982788898740.877
101.875,4965593274784.752
102.125,4948405942201.27
102.375,4931227401038.487
102.625,4914075231076.636
102.875,4896964365291.284
103.125,4879827895394.808
103.375,4862685699661.166
103.625,4845614344739.988
103.875,4828581848721.826
104.125,4811579687299.672
104.375,4794596431963.716
104.625,4777630893625.441
104.875,4760695755246.481
105.125,4743785787587.578
105.375,4726859524501.657
105.625,4709947397368.824
105.875,4693109134797.082
106.125,4676311332052.781
106.375,4659535172860.401
106.625,4642786507240.358
106.875,4626064716598.368
107.125,4609382923791.209
107.375,4592731351498.399
107.625,4576054683275.233
107.875,4559392782993.492
108.125,4542811734187.706
108.375,4526283835407.882
108.625,4509777966492.512
108.875,4493295798177.19
109.125,4476845617976.091
109.375,4460436459144.616
109.625,4444054581260.519
109.875,4427657766299.344
110.125,4411278008010.484
110.375,4394977399703.156
110.625,4378724342930.988
110.875,4362499449418.83
111.125,4346303515905.2915
111.375,4330147854383.6523
111.625,4314038274669.5044
111.875,4297961107632.3604
112.125,4281869105720.7593
112.375,4265803658991.021
112.625,4249812592275.1973
112.875,4233877099488.2056
113.125,4217969867638.481
113.375,4202092096976.9126
113.625,4186264309138.4155
113.875,4170460099576.9873
114.125,4154691176435.5522
114.375,4138905602236.12
114.625,4123145868600.122
114.875,4107462265350.4194
115.125,4091830224019.1226
115.375,4076237157067.959
115.625,4060679329069.4546
115.875,4045164487648.5376
116.125,4029671393750.3896
116.375,4014214913574.2944
116.625,3998750096415.952
116.875,3983324237081.696
117.125,3967974328967.5835
117.375,3952670712538.869
117.625,3937403214883.299
117.875,3922176985166.8896
118.125,3906990432904.9663
118.375,3891834075709.1787
118.625,3876713330742.175
118.875,3861584640020.981
119.125,3846503474428.358
119.375,3831492232945.029
119.625,3816522639704.1826
119.875,3801591252711.2866
120.125,3786708733285.146
120.375,3771873052975.6743
120.625,3757064184982.131
120.875,3742293452367.852
121.125,3727505353528.4326
121.375,3712760805062.9033
121.625,3698104030511.544
121.875,3683494332587.2505
122.125,3668919058180.0073
122.375,3654383558817.421
122.625,3639888970960.5933
122.875,3625425977835.031
123.125,3611011022650.8647
123.375,3596581839604.9136
123.625,3582195087872.784
123.875,3567879461065.103
124.125,3553608189082.701
124.375,3539378350882.016
124.625,3525205683970.32
124.875,3511059547480.748
125.125,3496936483714.6484
125.375,3482837162563.005
125.625,3468724228870.537
125.875,3454660155769.542
126.125,3440671895026.3765
126.375,3426733713642.0864
126.625,3412831604991.168
126.875,3398975763004.4365
127.125,3385149898501.405
127.375,3371356562322.186
127.625,3357596770638.807
127.875,3343832166866.3306
128.125,3330112134223.424
128.375,3316470108165.1934
128.625,3302874064378.513
128.875,3289319544368.96
129.125,3275806049827.7856
129.375,3262320756253.936
129.625,3248866829835.985
129.875,3235449765127.123
130.125,3222030724977.212
130.375,3208661479921.9624
130.625,3195363171933.4224
130.875,3182104123500.5684
131.125,3168890461714.4507
131.375,3155712213209.5864
131.625,3142558069063.816
131.875,3129444022600.875
132.125,3116355833035.455
132.375,3103267956499.7256
132.625,3090228427962.9155
132.875,3077255460798.7754
133.125,3064320106034.394
133.375,3051437699517.165
133.625,3038591600457.168
133.875,3025773237170.922
134.125,3012995684809.598
134.375,3000242299140.2686
134.625,2987492402194.116
134.875,2974790481378.8457
135.125,2962159749110.3237
135.375,2949572235330.858
135.625,2937028179410.8315
135.875,2924517025501.1265
136.125,2912030509722.5654
136.375,2899578920470.948
136.625,2887148203405.7783
136.875,2874725968257.1245
137.125,2862349950967.5845
137.375,2850039788560.113
137.625,2837772315926.5527
137.875,2825544666803.1494
138.125,2813346242583.7144
138.375,2801168103043.073
138.625,2789025769116.9976
138.875,2776909325355.7446
139.125,2764805616976.972
139.375,2752741504168.3477
139.625,2740738418320.1533
139.875,2728778844166.675
140.125,2716847603738.474
140.375,2704946685038.0693
140.625,2693076205873.4863
140.875,2681237128025.9937
141.125,2669415665450.6064
141.375,2657605143583.7036
141.625,2645832175883.1934
141.875,2634126618519.058
142.125,2622473833440.389
142.375,2610851310509.116
142.625,2599255365839.5493
142.875,2587681248445.0137
143.125,2576136902663.1953
143.375,2564611854353.542
143.625,2553111792995.8438
143.875,2541649548574.1675
144.125,2530251201892.7935
144.375,2518891064648.7188
144.625,2507558514680.243
144.875,2496251925804.569
145.125,2484975784004.525
145.375,2473733899095.479
145.625,2462509222605.5205
145.875,2451297903423.8257
146.125,2440123416791.7656
146.375,2429014362972.0913
146.625,2417943433785.2227
146.875,2406903472429.64
147.125,2395890213958.5005
147.375,2384900707146.3687
147.625,2373942824495.8013
147.875,2363000901529.748
148.125,2352076153617.643
148.375,2341189554342.5327
148.625,2330370403786.878
148.875,2319582238561.5557
149.125,2308820501378.2617
149.375,2298081170358.419
149.625,2287366948996.364
149.875,2276689480921.9185
150.125,2266021062555.339
150.375,2255369369106.855
150.625,2244753526427.9062
150.875,2234199714663.635
151.125,2223672262306.585
151.375,2213176968526.268
151.625,2202704500712.078
151.875,2192257271101.594
152.125,2181845636724.8801
152.375,2171444713051.9456
152.625,2161061858245.1782
152.875,2150715954727.47
153.125,2140429672855.5427
153.375,2130170064958.6313
153.625,2119937123925.1826
153.875,2109727073316.9336
154.125,2099545730673.4614
154.375,2089392732326.3345
154.625,2079254580656.7253
154.875,2069136708647.7676
155.125,2059055760795.13
155.375,2049026524068.4456
155.625,2039023464428.7917
155.875,2029044681434.1477
156.125,2019089596831.936
156.375,2009163017967.2332
156.625,1999261851553.346
156.875,1989372529264.2932
157.125,1979507382633.7126
157.375,1969677458297.2002
157.625,1959893038209.3206
157.875,1950134412258.7026
158.125,1940401449501.5178
158.375,1930691316541.365
158.625,1921008687071.1296
158.875,1911356574156.8982
159.125,1901716550712.041
159.375,1892100054356.9397
159.625,1882516127669.372
159.875,1872973549694.6191
160.125,1863454565397.3132
160.375,1853963458565.3193
160.625,1844496058914.3923
160.875,1835052949416.8374
161.125,1825634027305.4678
161.375,1816226803419.4622
161.625,1806843632862.744
161.875,1797489327564.6167
162.125,1788172863677.773
162.375,1778878525955.6743
162.625,1769611217234.0076
162.875,1760361744217.073
163.125,1751136123907.8474
163.375,1741934304478.846
163.625,1732745375248.2236
163.875,1723584936513.54
164.125,1714454079522.149
164.375,1705358638598.8577
164.625,1696286987652.1968
164.875,1687239282316.2175
165.125,1678207719539.0974
165.375,1669198473674.9307
165.625,1660215402518.4248
165.875,1651247014007.382
166.125,1642303017148.6895
166.375,1633384308631.5745
166.625,1624497771106.1218
166.875,1615635271885.011
167.125,1606794264674.9773
167.375,1597972168910.0444
167.625,1589173269901.341
167.875,1580396068268.3179
168.125,1571633656789.7083
168.375,1562894833068.4285
168.625,1554179628254.1924
168.875,1545496164831.1274
169.125,1536837149569.9846
169.375,1528197160850.9019
169.625,1519573959605.2498
169.875,1510971350035.5515
170.125,1502389436610.3462
170.375,1493823985630.7146
170.625,1485279517144.7036
170.875,1476759783645.0894
171.125,1468268315558.4485
171.375,1459799746472.026
171.625,1451348825785.6802
171.875,1442915235354.118
172.125,1434502530193.0793
172.375,1426111887281.084
172.625,1417738550998.7688
172.875,1409388625779.3562
173.125,1401063704105.0342
173.375,1392765222463.0454
173.625,1384485512388.7712
173.875,1376221097934.2349
174.125,1367972677444.1477
174.375,1359744450038.2883
174.625,1351535291885.45
174.875,1343345465831.2854
175.125,1335175334899.5542
175.375,1327024786250.5793
175.625,1318895575810.4958
175.875,1310784832552.6687
176.125,1302688880798.9863
176.375,1294610726108.2288
176.625,1286553232957.0674
176.875,1278513942252.8179
177.125,1270496652535.8884
177.375,1262498103733.458
177.625,1254522457955.321
177.875,1246563837614.0186
178.125,1238622681735.2356
178.375,1230696899239.6267
178.625,1222787670780.5093
178.875,1214895554034.9011
179.125,1207021343689.5461
179.375,1199168300048.833
179.625,1191332817895.3914
179.875,1183518056245.777
180.125,1175716984423.6455
180.375,1167934761239.7952
180.625,1160165587071.3313
180.875,1152412070935.8699
181.125,1144676148960.7295
181.375,1136957891538.3013
181.625,1129260937556.043
181.875,1121582820596.621
182.125,1113923034223.4507
182.375,1106274461212.384
182.625,1098643169665.2805
182.875,1091022799371.9504
183.125,1083417316261.712
183.375,1075830303861.8494
183.625,1068257537751.5598
183.875,1060707685701.1511
184.125,1053175065833.7657
184.375,1045659005280.6622
184.625,1038151171052.6926
184.875,1030659656057.7119
185.125,1023178485659.1364
185.375,1015714693410.7527
185.625,1008265839241.406
185.875,1000832266240.5226
186.125,993423815254.3018
186.375,986030477849.7858
186.625,978653698635.4381
186.875,971281542653.0549
187.125,963925201836.9021
187.375,956579982727.8385
187.625,949252714936.5542
187.875,941935962722.457
188.125,934636145730.7587
188.375,927363043019.4224
188.625,920103375623.2191
188.875,912858191561.8217
189.125,905614837809.2418
189.375,898386674551.2325
189.625,891172702077.0233
189.875,883972462475.2347
190.125,876779643468.3788
190.375,869607797200.0615
190.625,862461736282.1655
190.875,855326453398.1826
191.125,848204710116.2979
191.375,841082103793.685
191.625,833976340871.0253
191.875,826881352307.3142
192.125,819796806350.5392
192.375,812719478017.3907
192.625,805666936024.8867
192.875,798635780023.8774
193.125,791613845262.7299
193.375,784604193807.0708
193.625,777591315760.7104
193.875,770595131690.9739
194.125,763608093882.2858
194.375,756628860853.1191
194.625,749661296526.6737
194.875,742716113712.6608
195.125,735791929128.8577
195.375,728876066015.7881
195.625,721971883357.2927
195.875,715064425100.9698
196.125,708170362433.259
196.375,701284864458.6952
196.625,694405557011.1532
196.875,687539403801.4915
197.125,680694447213.2292
197.375,673869415361.6735
197.625,667051352461.2366
197.875,660246300825.1891
198.125,653432657382.6147
198.375,646631794354.8068
198.625,639839629897.1583
198.875,633052370666.2773
199.125,626277362104.7778
199.375,619524190490.6346
199.625,612789662407.096
199.875,606061963208.3501
200.125,599345830886.0502
200.375,592616396046.0632
200.625,585901144193.3851
200.875,579192863393.6613
201.125,572492974549.1288
201.375,565803856048.4202
201.625,559137907731.7084
201.875,552489722696.9652
202.125,545850960356.20044
202.375,539222417999.9268
202.625,532581698429.231
202.875,525955025886.3875
203.125,519334214167.34174
203.375,512723503525.0729
203.625,506122860668.4868
203.875,499546427193.00824
204.125,492988640523.342
204.375,486438146080.31006
204.625,479897881391.4474
204.875,473345028618.7565
205.125,466805969312.6198
205.375,460272644086.1689
205.625,453749465934.1965
205.875,447236236188.57996
206.125,440749010341.89325
206.375,434279050721.8961
206.625,427815289544.21936
206.875,421361805420.7314
207.125,414896028760.57184
207.375,408445644969.8262
207.625,402003896955.18225
207.875,395574039166.9866
208.125,389156104026.6482
208.375,382768055812.56744
208.625,376396156528.7889
208.875,370032494060.69763
209.125,363681146193.6184
209.375,357319784004.8508
209.625,350976360859.1017
209.875,344644660656.3401
210.125,338327377244.2624
210.375,332024561861.71405
210.625,325753055349.20276
210.875,319499102285.55853
211.125,313256048790.7685
211.375,307027960060.7653
211.625,300793895300.8855
211.875,294581951290.621
212.125,288385987551.62933
212.375,282208118229.6769
212.625,276048545846.36414
212.875,269924896055.54025
213.125,263821766174.71606
213.375,257733893621.49585
213.625,251665425655.62445
213.875,245598579775.26523
214.125,239556906244.08316
214.375,233536072889.17862
214.625,227536842913.90674
214.875,221559743580.32922
215.125,215623169745.31516
215.375,209710474017.1349
215.625,203817937158.46674
215.875,197949920354.8814
216.125,192093257500.51663
216.375,186274473585.22104
216.625,180483188789.67914
216.875,174720802229.0533
217.125,168988699577.84076
217.375,163306191386.94617
217.625,157656364755.85278
217.875,152037549897.90863
218.125,146454765444.45837
218.375,140922936019.83536
218.625,135448359798.50658
218.875,129987468305.97119
219.125,124546341407.81474
219.375,119131004279.35986
219.625,113765116149.11572
219.875,108435647544.20897
220.125,103146556420.76576
220.375,97907127544.986
220.625,92876019403.60686
220.875,87961109902.47217
221.125,82967082231.0056
221.375,77923346569.51753
221.625,72859054367.64723
221.875,67820085049.455505
222.125,62816078083.34965
222.375,57874565987.62005
222.625,53026867928.65566
222.875,48533708794.122185
223.125,43985550866.20374
223.375,39018197147.510574
223.625,33682748726.689335
223.875,28029864561.827164
224.125,22116655778.063454
224.375,15982069212.802334
224.625,9675472664.204659
224.875,3246037777.5555563